"(J117-30-2-001)経営体階層","/(J117-30-1-001)表章項目1","漁業経営体数【経営体】","漁船_無動力漁船隻数【隻】","漁船_船外機付漁船隻数【隻】","漁船_動力漁船_隻数【隻】","漁船_動力漁船_ﾄﾝ数【Ｔ】"
"計","","79,067","3,080","59,201","69,920","547,521.4"
"漁船非使用階層","","2,595","-","-","-","-"
"漁船使用_無動力漁船のみ","","47","58","-","-","-"
"漁船使用_船外機付漁船","","17,364","65","21,775","-","-"
"漁船使用_動力漁船使用_1ﾄﾝ未満","","2,002","15","534","2,003","1,398.8"
"漁船使用_動力漁船使用_1～3ﾄﾝ未満","","10,652","54","3,325","10,975","19,874.6"
"漁船使用_動力漁船使用_3～5ﾄﾝ未満","","16,810","132","5,762","17,331","72,766.1"
"漁船使用_動力漁船使用_5～10ﾄﾝ未満","","7,495","75","2,835","9,493","56,057.6"
"漁船使用_動力漁船使用_10～20ﾄﾝ未満","","3,339","28","1,057","5,068","48,805.6"
"漁船使用_動力漁船使用_20～30ﾄﾝ未満","","494","7","153","1,446","11,929.7"
"漁船使用_動力漁船使用_30～50ﾄﾝ未満","","430","2","128","1,474","15,988.7"
"漁船使用_動力漁船使用_50～100ﾄﾝ未満","","252","10","82","988","18,365.4"
"漁船使用_動力漁船使用_100～200ﾄﾝ未満","","233","14","66","810","33,383.3"
"漁船使用_動力漁船使用_200～500ﾄﾝ未満","","64","1","2","294","21,858.9"
"漁船使用_動力漁船使用_500～1,000ﾄﾝ未満","","50","-","2","229","38,516.4"
"漁船使用_動力漁船使用_1,000～3,000ﾄﾝ未満","","52","-","-","309","86,214.3"
"漁船使用_動力漁船使用_3,000ﾄﾝ以上","","2","-","-","32","7,787.1"
"大型定置網","","409","197","386","1,176","13,042.5"
"さけ定置網","","534","15","930","680","8,178.0"
"小型定置網","","2,293","125","2,327","2,446","11,597.8"
"海面養殖_魚類養殖_ぎんざけ養殖","","60","1","116","95","623.7"
"海面養殖_魚類養殖_ぶり類養殖","","520","6","443","1,806","15,269.6"
"海面養殖_魚類養殖_まだい養殖","","445","26","358","1,193","8,139.7"
"海面養殖_魚類養殖_ひらめ養殖","","54","-","15","30","132.4"
"海面養殖_魚類養殖_とらふぐ養殖","","139","1","82","320","1,466.1"
"海面養殖_魚類養殖_くろまぐろ養殖","","69","1","98","358","5,375.8"
"海面養殖_魚類養殖_その他の魚類養殖","","105","-","58","166","843.0"
"海面養殖_ほたてがい養殖","","2,496","10","1,484","2,466","12,848.8"
"海面養殖_かき類養殖","","2,067","21","2,323","2,245","11,759.4"
"海面養殖_その他の貝類養殖","","235","2","195","125","274.7"
"海面養殖_くるまえび養殖","","75","-","117","5","14.9"
"海面養殖_ほや類養殖","","167","-","233","122","385.8"
"海面養殖_その他の水産動物類養殖","","50","-","76","20","71.6"
"海面養殖_こんぶ類養殖","","916","1","1,608","173","952.8"
"海面養殖_わかめ類養殖","","1,835","12","3,007","980","3,225.4"
"海面養殖_のり類養殖","","3,214","2,181","7,657","3,702","17,024.3"
"海面養殖_その他の海藻類養殖","","661","8","306","509","1,306.3"
"海面養殖_真珠養殖","","594","11","1,371","788","1,924.8"
"海面養殖_真珠母貝養殖","","248","1","290","63","117.5"
